"geneid"	"SRR2040653"	"SRR2040654"	"SRR2040655"	"SRR2040656"	"SRR2040657"	"SRR2040658"
"WBGene00201671"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021938"	"605"	"202"	"235"	"397"	"209"	"158"
"WBGene00196995"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00196058"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00007007"	"526"	"89"	"71"	"166"	"109"	"71"
"WBGene00016649"	"51"	"21"	"9"	"22"	"14"	"18"
"WBGene00045301"	"5"	"4"	"0"	"2"	"2"	"0"
"WBGene00016648"	"64"	"25"	"8"	"31"	"19"	"17"
"WBGene00045300"	"5"	"1"	"0"	"3"	"1"	"0"
"WBGene00016647"	"47"	"17"	"18"	"24"	"11"	"15"
"WBGene00045299"	"5"	"0"	"0"	"5"	"0"	"0"
"WBGene00016646"	"50"	"16"	"10"	"36"	"25"	"17"
"WBGene00045298"	"2"	"1"	"0"	"0"	"1"	"0"
"WBGene00019073"	"61"	"21"	"11"	"29"	"21"	"14"
"WBGene00019072"	"3"	"2"	"0"	"1"	"2"	"0"
"WBGene00271786"	"3"	"0"	"0"	"1"	"1"	"0"
"WBGene00019070"	"4"	"24"	"29"	"12"	"53"	"47"
"WBGene00019069"	"16"	"5"	"14"	"5"	"5"	"2"
"WBGene00196404"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00199590"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00019067"	"20"	"4"	"7"	"8"	"13"	"7"
"WBGene00019068"	"305"	"386"	"215"	"145"	"262"	"101"
"WBGene00004047"	"359"	"93"	"75"	"295"	"115"	"93"
"WBGene00043705"	"97"	"31"	"24"	"51"	"9"	"28"
"WBGene00220181"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00002278"	"46"	"47"	"88"	"29"	"139"	"139"
"WBGene00021923"	"42"	"12"	"66"	"26"	"93"	"101"
"WBGene00021925"	"93"	"81"	"276"	"153"	"357"	"344"
"WBGene00021926"	"209"	"84"	"36"	"101"	"44"	"46"
"WBGene00021922"	"1391"	"465"	"605"	"1307"	"494"	"415"
"WBGene00021921"	"140"	"139"	"250"	"178"	"322"	"219"
"WBGene00194825"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00194822"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00194823"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00194824"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00194826"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021927"	"66"	"10"	"2"	"72"	"20"	"17"
"WBGene00219762"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021928"	"109"	"19"	"10"	"38"	"7"	"26"
"WBGene00005903"	"3"	"1"	"1"	"0"	"0"	"0"
"WBGene00219399"	"34"	"24"	"17"	"56"	"32"	"17"
"WBGene00021929"	"708"	"304"	"140"	"359"	"161"	"135"
"WBGene00021930"	"1504"	"744"	"1789"	"1666"	"1327"	"1535"
"WBGene00021920"	"511"	"251"	"461"	"285"	"522"	"397"
"WBGene00021931"	"13"	"3"	"0"	"9"	"5"	"1"
"WBGene00000816"	"341"	"146"	"36"	"110"	"90"	"40"
"WBGene00021934"	"675"	"521"	"280"	"483"	"473"	"342"
"WBGene00196098"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00021933"	"647"	"303"	"204"	"337"	"241"	"248"
"WBGene00021932"	"153"	"81"	"36"	"91"	"58"	"78"
"WBGene00044462"	"141"	"191"	"20"	"219"	"700"	"26"
"WBGene00016637"	"168"	"57"	"8"	"73"	"51"	"7"
"WBGene00003893"	"8921"	"3754"	"9953"	"6021"	"7950"	"9974"
"WBGene00005905"	"0"	"0"	"0"	"2"	"0"	"0"
"WBGene00005904"	"0"	"0"	"2"	"0"	"1"	"1"
"WBGene00202064"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00016638"	"44779"	"56324"	"52035"	"82055"	"67371"	"57684"
"WBGene00016636"	"18287"	"26116"	"31560"	"34424"	"48775"	"40071"
"WBGene00016639"	"4"	"4"	"4"	"2"	"4"	"1"
"WBGene00199664"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00200465"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00023256"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00016797"	"28"	"22"	"33"	"34"	"32"	"40"
"WBGene00023257"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00016798"	"5"	"4"	"0"	"0"	"2"	"0"
"WBGene00219437"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00016796"	"580"	"307"	"209"	"459"	"308"	"221"
"WBGene00198147"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00198949"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00022426"	"25"	"5"	"32"	"32"	"20"	"20"
"WBGene00022428"	"147"	"48"	"29"	"62"	"37"	"41"
"WBGene00198533"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00197287"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00007020"	"741"	"162"	"111"	"206"	"66"	"105"
"WBGene00196875"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00022427"	"657"	"257"	"143"	"280"	"185"	"131"
"WBGene00196976"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00202019"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00001104"	"139"	"24"	"2"	"59"	"21"	"0"
"WBGene00023163"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00001103"	"26"	"10"	"2"	"15"	"10"	"0"
"WBGene00021123"	"54"	"36"	"44"	"50"	"29"	"22"
"WBGene00044463"	"118"	"3"	"0"	"52"	"1"	"6"
"WBGene00021122"	"1"	"0"	"0"	"2"	"2"	"0"
"WBGene00021121"	"751"	"137"	"59"	"241"	"198"	"105"
"WBGene00021120"	"172"	"638"	"43"	"371"	"803"	"29"
"WBGene00009521"	"235"	"122"	"170"	"132"	"264"	"171"
"WBGene00044908"	"0"	"1"	"0"	"1"	"3"	"3"
"WBGene00009522"	"3"	"5"	"1"	"4"	"1"	"0"
"WBGene00009523"	"1"	"0"	"0"	"3"	"0"	"2"
"WBGene00009524"	"6"	"3"	"4"	"8"	"1"	"0"
"WBGene00009518"	"179"	"44"	"26"	"122"	"6"	"17"
"WBGene00009519"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045003"	"0"	"0"	"0"	"2"	"0"	"3"
"WBGene00009517"	"0"	"0"	"0"	"4"	"0"	"1"
"WBGene00009520"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00045037"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00009526"	"12"	"0"	"2"	"4"	"2"	"0"
"WBGene00009525"	"0"	"0"	"0"	"1"	"0"	"0"
"WBGene00009515"	"25"	"16"	"42"	"62"	"67"	"185"
"WBGene00007476"	"593"	"198"	"98"	"310"	"123"	"82"
"WBGene00022425"	"442"	"225"	"123"	"347"	"174"	"174"
"WBGene00018776"	"2909"	"2132"	"2039"	"3531"	"3011"	"2381"
"WBGene00018778"	"2964"	"1978"	"1925"	"4157"	"2759"	"1903"
"WBGene00018777"	"162"	"107"	"53"	"98"	"55"	"51"
"WBGene00023291"	"29"	"21"	"17"	"26"	"19"	"17"
"WBGene00019054"	"0"	"0"	"0"	"1"	"4"	"0"
"WBGene00019053"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00004338"	"586"	"279"	"701"	"276"	"1417"	"1021"
"WBGene00000678"	"2356"	"715"	"1195"	"6565"	"851"	"1527"
"WBGene00023304"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00166535"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00000679"	"101"	"2"	"4"	"83"	"1"	"3"
"WBGene00200943"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00023305"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00199889"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00219265"	"0"	"0"	"1"	"0"	"0"	"1"
"WBGene00023397"	"1"	"0"	"0"	"0"	"0"	"0"
"WBGene00022423"	"27"	"5"	"8"	"38"	"20"	"12"
"WBGene00023202"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00198926"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00022314"	"334"	"29"	"14"	"189"	"26"	"26"
"WBGene00023392"	"4"	"0"	"0"	"9"	"0"	"0"
"WBGene00022309"	"371"	"282"	"317"	"515"	"342"	"387"
"WBGene00022310"	"122"	"54"	"67"	"130"	"62"	"44"
"WBGene00199927"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00002180"	"346"	"166"	"390"	"279"	"497"	"501"
"WBGene00022311"	"4"	"0"	"0"	"3"	"0"	"0"
"WBGene00022312"	"6"	"1"	"0"	"0"	"0"	"0"
"WBGene00235266"	"0"	"0"	"0"	"3"	"0"	"0"
"WBGene00235267"	"52"	"10"	"0"	"11"	"4"	"1"
"WBGene00000546"	"48"	"80"	"165"	"72"	"152"	"226"
"WBGene00000547"	"1073"	"312"	"286"	"803"	"294"	"231"
"WBGene00022308"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00022307"	"730"	"437"	"323"	"1303"	"539"	"246"
"WBGene00000680"	"46356"	"302352"	"200212"	"82798"	"251684"	"210582"
"WBGene00022313"	"27"	"11"	"35"	"14"	"38"	"39"
"WBGene00023393"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00220213"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00023394"	"0"	"0"	"0"	"0"	"0"	"0"
"WBGene00044464"	"5"	"2"	"2"	"8"	"1"	"1"
